Total_Review,review_type,encoded_review,preprocessed_review
  The room was very large Helpful staff The bathroom in particular was exactly what you want for a relaxing time good wifi,Good_review,1,room large helpful staff bathroom particular exactly want relaxing time good wifi
 staff only speaks english might be a problem for some and at some moments reception is really understaffed  easy to reach nearby station very nice trendy decor well equiped room nespresso machine Lot of value for not too much money make sure to reserve a parking spot upfront 10 euro cheaper I will definitely come back here,Good_review,1,staff speaks english problem moments reception understaffed easy reach nearby station nice trendy decor equiped room nespresso machine lot value money sure reserve parking spot upfront euro cheaper definitely come
  Close to the tube station easy to find and good breakfast,Good_review,1,close tube station easy find good breakfast
 The bed was uncomfortable mattress like a bathtub and only 1 room s key even we were 2 person in the room   Nice staff and great location ,Good_review,1,bed uncomfortable mattress like bathtub room key person room nice staff great location
 Value for money  Central,Bad_review,0,value money central
 At 3 15 my room was not ready I booked a studio however I was given a rooftop room very different than the one I booked and the windows were without a curtain I called them asking if this the studio I booked They called me again and said they are nearly the same and you can see the other room if you like to change I saw the studio it was really different with two bathrooms and a dinner table The size was 55 m2 and the other one was only 40 m2 I got really angry and wondering why they did this Another thing about this hotel is the flooring carpets and chairs are worn and torn for a 5 star hotel When you get in the loby you will notice an old worn and torn sofa which will give a miserable feeling   Staff at the buffet were good and welcoming The shower facilities at the studio were good ,Good_review,1,room ready booked studio given rooftop room different booked windows curtain called asking studio booked called said nearly room like change saw studio different bathrooms dinner table size m2 m2 got angry wondering thing hotel flooring carpets chairs worn torn star hotel loby notice old worn torn sofa miserable feeling staff buffet good welcoming shower facilities studio good
 I was upgraded from a single to a double room but the double room was very small and was basically a double mattress on two single bed frames There wasnt enough room to swing a cat I m not a very big person but had to walk sideways past the bed to get to the bathroom   The bed was comfortable bathroom was good air conditioning also helpful Was upgraded from a single to double room,Good_review,1,upgraded single double room double room small basically double mattress single bed frames nt room swing cat big person walk sideways past bed bathroom bed comfortable bathroom good air conditioning helpful upgraded single double room
 Housekeeping variable but when highlighted to reception they responded promptly  Junior suite was excellent good space and quiet Mini bar and breakfast included in the price ,Good_review,1,housekeeping variable highlighted reception responded promptly junior suite excellent good space quiet mini bar breakfast included price
 None All my requests were taken care of Thank you   The very helpful and obliging receptionists and the attention to my needs I asked to change my room as I don t like being on the first floor and they did immediately The room and the bathroom are super clean My only comment is that I think WIFI should be for free at least in the common areas as already the room is a lot of money That would make it even more attractive ,Good_review,1,requests taken care thank helpful obliging receptionists attention needs asked change room don like floor immediately room bathroom super clean comment think wifi free common areas room lot money attractive
 Breakfast could have been better   Location near Arc de Triomphe means easy access to most major attractions ,Good_review,1,breakfast better location near arc de triomphe means easy access major attractions
 Limited Choice in breakfast  Perfect Reception we kept our baggage with them while we were shopping up to 7 pm even our check up time overed,Good_review,1,limited choice breakfast perfect reception kept baggage shopping pm check time overed
 I wasn t too keen on the restaurant area it was a bit too open   We had a suite which was very nice for 3 of us and the coffee machine was a great touch ,Good_review,1,wasn keen restaurant area bit open suite nice coffee machine great touch
 room we got was tiny and not convenient No door to the bathroom just a slide in curtains   Value and location,Good_review,1,room got tiny convenient door bathroom slide curtains value location
 Hotel front desk stuff is horrible The breakfast stuff is great  Location location location Nice room Great breakfast,Good_review,1,hotel desk stuff horrible breakfast stuff great location location location nice room great breakfast
 hairdryer burned out and tea coffee making facilities did not include enough milk  very clean excellent location,Bad_review,0,hairdryer burned tea coffee making facilities include milk clean excellent location
  The bed was very comfortable and the view from my room was fantastic ,Good_review,1,bed comfortable view room fantastic
 Staff rude obnoxious ,Good_review,1,staff rude obnoxious
 A little outdated and shabby in parts   Clean and friendly staff,Good_review,1,little outdated shabby parts clean friendly staff
 The pillows on the bed were disappointing and not very comfortable to use Each one was different and rather lumpy is the best description When accessing the hotel by wheelchair please note the reception is up one level there are no signs to show this well none that I saw at wheelchair height We therefore spent some time circling round inside to ascertain where to go   The location was excellent and accessibility was good for me being an electric wheelchair user Receptionist we noted was a trainee and did an excellent job of making us feel very welcome and explaining where everything was within the hotel We popped down to see the pool and spa area although we ran out of time to be able to use maybe next time The disabled friendly bathroom was very good for my needs ,Good_review,1,pillows bed disappointing comfortable use different lumpy best description accessing hotel wheelchair note reception level signs saw wheelchair height spent time circling round inside ascertain location excellent accessibility good electric wheelchair user receptionist noted trainee excellent job making feel welcome explaining hotel popped pool spa area ran time able use maybe time disabled friendly bathroom good needs
  It was the quietest London Hotel Room that we have ever stayed in absolutely no traffic noise Friendly courteous staff,Good_review,1,quietest london hotel room stayed absolutely traffic noise friendly courteous staff
  Perfect location Just a few steps to Champs Elysees George V Metro Station Nice boutique hotel nicely designed rooms clean bathrooms courteous and helpful hotel staff ,Good_review,1,perfect location steps champs elysees george metro station nice boutique hotel nicely designed rooms clean bathrooms courteous helpful hotel staff
 Small room but at this price it is normal Honey not tasty but this is a detail and sincerely it is not a criteria of choice so do not worry   Excellent location Very nice personnel helpfull Quiet Very good breakfast,Good_review,1,small room price normal honey tasty detail sincerely criteria choice worry excellent location nice personnel helpfull quiet good breakfast
  Staff is really customer oriented polite and prepared to assist the guests They seem to be well trained and concious abour their duries They seem to be happy with the work environment ,Good_review,1,staff customer oriented polite prepared assist guests trained concious abour duries happy work environment
 Rude unprofessional staff at reception  Nothing,Bad_review,0,rude unprofessional staff reception
  excellent hotel very nice staff breakfast is very good nice rooms I recommend this hotel,Good_review,1,excellent hotel nice staff breakfast good nice rooms recommend hotel
 breakfastroom a little small tables uncomfortably close to each other street level rooms a bit noisy  very friendly staff nice clean rooms comfortable,Good_review,1,breakfastroom little small tables uncomfortably close street level rooms bit noisy friendly staff nice clean rooms comfortable
 Nothing comes to mind   The staff were all very professional friendly and helpful The hotel was beautiful and the beds were extremely comfortable Lovely breakfast with lots of choice Very close to shopping Carnaby Street Oxford Street Regent Street Piccadilly about 15 minutes walk away Lots of choices close by for eating and just around the corner from the London Palladium Would highly recommend this Hotel and plan to visit again ,Good_review,1,comes mind staff professional friendly helpful hotel beautiful beds extremely comfortable lovely breakfast lots choice close shopping carnaby street oxford street regent street piccadilly minutes walk away lots choices close eating corner london palladium highly recommend hotel plan visit
 Room service  View from 21 floor,Good_review,1,room service view floor
 Slightly small bedroom but I guess that is London   The location next to underground and Hyde Park was ideal for us The staff were very helpful and polite We had just got engaged and so they kindly had a card fruit wine and chocolates in our bedroom as a gift Been many places and could not fault it Wonderful air conditioning in room Beautiful historical hotel ,Good_review,1,slightly small bedroom guess london location underground hyde park ideal staff helpful polite got engaged kindly card fruit wine chocolates bedroom gift places fault wonderful air conditioning room beautiful historical hotel
  without any problems stuff OK,Good_review,1,problems stuff ok
  Bed was great and we could take our bikes to the room ,Good_review,1,bed great bikes room
 Small lift  The staff were first rate,Good_review,1,small lift staff rate
 Lobby  Location,Good_review,1,lobby location
 The restaurant was a bit of a let down in terms of service and price but this is pretty standard in Amsterdam Service in Cafes bars restaurants are generally slow and its very expensive otherwise the hotel is great   Beautiful hotel in a good location Bed was amazing and everything very clean and nice Restaurant was ok but very expensive for what we got but that is Amsterdam no matter where you go Beautiful bar with outdoor seating and a great bar tender Hotel check in was fantastic and reception staff were very nice ,Good_review,1,restaurant bit let terms service price pretty standard amsterdam service cafes bars restaurants generally slow expensive hotel great beautiful hotel good location bed amazing clean nice restaurant ok expensive got amsterdam matter beautiful bar outdoor seating great bar tender hotel check fantastic reception staff nice
 No kettle or coffee tea making facility in the room so you have to pay 10 for 2 cups of tea coffee Very sneaky  The hotel is lovely,Good_review,1,kettle coffee tea making facility room pay cups tea coffee sneaky hotel lovely
  Really near to French embassy and the room is clean and comfortable,Good_review,1,near french embassy room clean comfortable
  Friendly and helpful staff great location nice room ,Good_review,1,friendly helpful staff great location nice room
 Our reservation was cancelled 2 days before because they tried to take the money out of my account even tho it said to pay in arrival could be booking coms fault or the hotel   Location was perfect move bar in the hotel,Bad_review,0,reservation cancelled days tried money account tho said pay arrival booking coms fault hotel location perfect bar hotel
 ,Good_review,1,
 The balcony was full of cigarette butts and the room was smaller than I expected   I liked the bedding as it was very soft The balcony was nice being a smoker ,Good_review,1,balcony cigarette butts room smaller expected liked bedding soft balcony nice smoker
 Initial concern when my booking could not be found Very poor bar meal with fish that was barely cooked in a soft soggy batter It was said that there was a problem in the kitchen   Helpful bar staff,Good_review,1,initial concern booking found poor bar meal fish barely cooked soft soggy batter said problem kitchen helpful bar staff
 Bed could be bigger ,Good_review,1,bed bigger
 Very very small room in which the far too small bed in which we felt the springs hardly fitted This hotel was presented as a four stars hotel Three stars for the facilities and two at the most for room and bed would be more appropiate While booking this we had the impression we scored a fine 4 stars for a nice price This was very disappointing If we experience this one more time we will say goodbye to booking com  Good quiet location friendly staff good breakfast buffet however not typically English ,Bad_review,0,small room far small bed felt springs hardly fitted hotel presented stars hotel stars facilities room bed appropiate booking impression scored fine stars nice price disappointing experience time goodbye booking good quiet location friendly staff good breakfast buffet typically english
  Loved the hotel and breakfast Definitely worth staying again,Good_review,1,loved hotel breakfast definitely worth staying
 The new coffee tables in the Bar You could not get your legs under them   The room and the location,Good_review,1,new coffee tables bar legs room location
 Cleanliness cleaning of the rooms can be a tad better   The location was perfect Easy access to the RER Metro The room was comfy ,Bad_review,0,cleanliness cleaning rooms tad better location perfect easy access rer metro room comfy
 Nothing For this price a very good choice in central London   The location is very good 3 minutes to the train station and than 5 minutes to Leicester Square The rooms are comfortable and the bathroom is for UK standard good ,Good_review,1,price good choice central london location good minutes train station minutes leicester square rooms comfortable bathroom uk standard good
  Staff was very friendly The location was close to public transportation The hotel was environmentally friendly and well designed WiFi was very good ,Good_review,1,staff friendly location close public transportation hotel environmentally friendly designed wifi good
 Service very bad and they give us a room like a store and no water including they put a machine coffee but no water when we ask them about the water they said use the normal water from the toilet and they said all room full booked that why they give a cheaper one And the AC it was very bad When I checked in I mentioned for late check out and they said ok but next day they said I have to leave the room around 12 PM and no mention in system when I speaks to the manager she said ok until 2 PM but I received call I should leave at 12 or they will charge me and I said I talked to manager and she accepted she said no mention in system There s no good connection between the staff And I will never never back to this hotel  Nothing just the location,Bad_review,0,service bad room like store water including machine coffee water ask water said use normal water toilet said room booked cheaper ac bad checked mentioned late check said ok day said leave room pm mention system speaks manager said ok pm received leave charge said talked manager accepted said mention system good connection staff hotel location
  A very special hotel The quality of furnishings and ambiance the care and attention of friendly helpful staff the variety and quality of the food and its presentation In fact Virtually everything ,Good_review,1,special hotel quality furnishings ambiance care attention friendly helpful staff variety quality food presentation fact virtually
  Great selection in the bar including Compass Box whisky ,Good_review,1,great selection bar including compass box whisky
  Location was perfect ,Good_review,1,location perfect
 The breakfast can be richer  New hotel great staff great rooms Very good spa great location,Good_review,1,breakfast richer new hotel great staff great rooms good spa great location
 Staff a little unfriendly Extremely expensive bar drinks even for London  Clean modern hotel with easy access to underground ,Good_review,1,staff little unfriendly extremely expensive bar drinks london clean modern hotel easy access underground
 Spa staff  The room the view the spa facilities restaurants,Good_review,1,spa staff room view spa facilities restaurants
 The Loud music must be my age   breakfast very good walking distance to the dominion theatre I had the lobster roll for lunch very good with caring staff ,Good_review,1,loud music age breakfast good walking distance dominion theatre lobster roll lunch good caring staff
 Nothing to dislike  The Under the Bridge venue is less than one hundred metres away,Good_review,1,dislike bridge venue metres away
 Nothing we usually stay here when in London and it never seems to vary We only stayed on night this time but will return   Durrants is perfectly located in central London It is a unique hotel with cosy antique filled public rooms starched table clothes and attentive but not oppressively so staff It is a delightful change from the standard branded hotels The bedroom was a good size and the bathroom clean and well stocked with toiletries The management are discreetly present so when for example the barman was busy a manager appeared as if from nowhere to ensure no one was left waiting Service is always just the right balance of friendly but not familiar The hotel is near the Wallace collection and within walking distance of many restaurants ,Good_review,1,usually stay london vary stayed night time return durrants perfectly located central london unique hotel cosy antique filled public rooms starched table clothes attentive oppressively staff delightful change standard branded hotels bedroom good size bathroom clean stocked toiletries management discreetly present example barman busy manager appeared ensure left waiting service right balance friendly familiar hotel near wallace collection walking distance restaurants
 If you come to visit Barcelona as a tourist location is not ideal Too far away and there is not much around   Nice hotel very clean spacious room and bathroom and located near tran station Good breakfast with the great view over Barcelona Suppose it is a correct choice for business travel ,Bad_review,0,come visit barcelona tourist location ideal far away nice hotel clean spacious room bathroom located near tran station good breakfast great view barcelona suppose correct choice business travel
 There was nothing we didn t like few things could do with revamping but that s it   The room was big and spacious,Good_review,1,didn like things revamping room big spacious
 Facilities could be improved we changed rooms due to bad smell from the carpet and rooms ok   The location is just next to the station which is great Good stay for attractions and travel around Paris,Good_review,1,facilities improved changed rooms bad smell carpet rooms ok location station great good stay attractions travel paris
 Elevator is up 6 steep stairs Not suitable for those with mobility issues or carrying heavy luggage No in house restaurant bar limited  Staff were friendly and gave excellent touring dining suggestions Breakfast was provided,Good_review,1,elevator steep stairs suitable mobility issues carrying heavy luggage house restaurant bar limited staff friendly gave excellent touring dining suggestions breakfast provided
 Perhaps nitpicking but the room had obviously been redecorated with a largish patch in the ceiling not painted over and also near the window on some plasterboard Cabling leading from bed head over to window not chased in or covered just tacked   Great location excellent bed and good bathroom Staff are very polite and friendly Stayed here previously two years ago and would stay again ,Good_review,1,nitpicking room obviously redecorated largish patch ceiling painted near window plasterboard cabling leading bed head window chased covered tacked great location excellent bed good bathroom staff polite friendly stayed previously years ago stay
  Location roof bar,Good_review,1,location roof bar
 An arrogant receptionists  Food and housekeeping,Good_review,1,arrogant receptionists food housekeeping
 Room is damaged and water dropped from the celling I have to ask for changing room at 23 00 p m New rooms are also poorly maintained  ,Bad_review,0,room damaged water dropped celling ask changing room new rooms poorly maintained
 Staff extremely poor english understaffed Parking there are only 2 two parking slots that s 1 1 2 parking places for the whole 82 bed hotel that there are away from the hotel they charge 35 day but you park on your own risk To summarize this hotel does not have a hotel parking Room tiny we booked the executive king because we had read that the standard ones were small It is barely 12 square meters Bed mattress ultra soft felt like a water matrress not pleasant for your back   Location central Kensington excellent access to tube stations Breakfast above average,Bad_review,0,staff extremely poor english understaffed parking parking slots parking places bed hotel away hotel charge day park risk summarize hotel hotel parking room tiny booked executive king read standard ones small barely square meters bed mattress ultra soft felt like water matrress pleasant location central kensington excellent access tube stations breakfast average
  Very comfortable and convenient ,Good_review,1,comfortable convenient
 Reception staff were iffy I was told off for not pre ordering breakfast and asking for the discounted rate in the day so make sure you pre order breakfast the day before The hotel is very over priced for the facilities and services provided We were told we were upgraded and we re happy we didn t see the room we were upgraded from   The location was great and the dining room was beautiful Service and selection in the bar was good ,Bad_review,0,reception staff iffy told pre ordering breakfast asking discounted rate day sure pre order breakfast day hotel priced facilities services provided told upgraded happy didn room upgraded location great dining room beautiful service selection bar good
 The price was a bit high for the original single room that we booked Although we were upgraded to a suite I felt the price point we paid was more in alignment for a suite This could also be because of location or that fact the we where staying for one night prior to cruise ship sailing   The staff was exceptional and very friendly They made every effort to assure that my room arrangements were comfortable enough to sleep 4 people by upgrading us to a suite at no additional charge We forgot that the hotel only accepts Euro and not USA currency for payments They waited patiently while my husband went to the exchange window to convert dollars While we waited a lovely gentleman brought us expresso and tea while we relaxed in the comfortable lounge area The suite was nicely appointed and the best surprise was the private pool accessible from each bedroom Prime location just minutes from Las Ramblas by foot ,Good_review,1,price bit high original single room booked upgraded suite felt price point paid alignment suite location fact staying night prior cruise ship sailing staff exceptional friendly effort assure room arrangements comfortable sleep people upgrading suite additional charge forgot hotel accepts euro usa currency payments waited patiently husband went exchange window convert dollars waited lovely gentleman brought expresso tea relaxed comfortable lounge area suite nicely appointed best surprise private pool accessible bedroom prime location minutes las ramblas foot
 The room was opposite the cleaners store cupboard and they were noisy and several of the items in the cooked breakfast were cold eggs and bacon   Location was excellent and the cleanliness of the room was spot on We had a queen guest room and the size of the room and en suite were brilliant ,Good_review,1,room opposite cleaners store cupboard noisy items cooked breakfast cold eggs bacon location excellent cleanliness room spot queen guest room size room en suite brilliant
 Arriving after an overnight flight to find the room I had arranged was not available even after a long email exchange on the matter meaning that staff members had to sleep together even though inappropriate because a cot would not fit But still being charged for an upgrade The sinks were clogged and the temperature controls had no effect I also had suspicious bug bites each night When I showed them to staff they asked for my email to follow up and I never heard anything after that   Nothing,Bad_review,0,arriving overnight flight find room arranged available long email exchange matter meaning staff members sleep inappropriate cot fit charged upgrade sinks clogged temperature controls effect suspicious bug bites night showed staff asked email follow heard
 This has got to be one off the worst hotels i have stayied in as we visit alot up and down the country the beds was like sleeping on a stone the food was diabolicle and cold i wont be staying at that hotel again  Didnt like,Bad_review,0,got worst hotels stayied visit alot country beds like sleeping stone food diabolicle cold wo nt staying hotel nt like
 Rooms are very old small not nice Long waiting time to take elavators   Cleanliness ,Bad_review,0,rooms old small nice long waiting time elavators cleanliness
 The room was very small ,Bad_review,0,room small
  Location rooms food stuff everything is perfect ,Good_review,1,location rooms food stuff perfect
  we were at our honeymoon and everything was beyond our expectations The girl at the reception offered us FREE BREAKFAST all our stay alongside FREE bottle of champagne and plate of chocolates just because we were honeymooners NOT JUST THAT the house keeper stuff were extra friendly by helping my wife to transfer me from wheelchair to bed shower chair and vise versa ,Good_review,1,honeymoon expectations girl reception offered free breakfast stay alongside free bottle champagne plate chocolates honeymooners house keeper stuff extra friendly helping wife transfer wheelchair bed shower chair vise versa
  Staff was very helpful and always had a great attitude L,Good_review,1,staff helpful great attitude
  Excellent location Great breakfast Reception helpful Great value Would stay again here ,Good_review,1,excellent location great breakfast reception helpful great value stay
 I requested check in between 1 2 and this wasn t available a little disappointing as I had been travelling all morning and I had wanted to freashen up before leaving as I had to be somewhere at 14 30 Also when booking a delux queen size room the write up said that there would be bath robes slippers and mineral water None of these were available There was no fridge why would a 4 stair reputable hotel chain not have a fridge in the room   The restaurant reception seating area and bar area are very beautiful ,Bad_review,0,requested check wasn available little disappointing travelling morning wanted freashen leaving booking delux queen size room write said bath robes slippers mineral water available fridge stair reputable hotel chain fridge room restaurant reception seating area bar area beautiful
 The hotel was very expensive there should be more tourist information available for around the area The 50 fee was also not returned to us   Beds were comfy staff were very helpful short distance from train station and bus stop outside,Good_review,1,hotel expensive tourist information available area fee returned beds comfy staff helpful short distance train station bus stop outside
 A little noisy before 12pm  Bed is large and feels great Numbers of USB slots can be found in the room for charging device ,Good_review,1,little noisy pm bed large feels great numbers usb slots found room charging device
 The bar area often had tables that had not been cleared and were dirty   Very comfortable beds ,Good_review,1,bar area tables cleared dirty comfortable beds
 Nothing   It s a great experience stayin at NH collection hotel It s central located beautifully designed has one of the most comfortable bed They even gave me a room with best view which is amazing Besides it s very good value Definitely recommanded ,Good_review,1,great experience stayin nh collection hotel central located beautifully designed comfortable bed gave room best view amazing good value definitely recommanded
  This was by far the best stay on a very busy season booking com find me the best rate which i enjoy during my stay Property is wonderful stay was perfect well take care by the staff ,Good_review,1,far best stay busy season booking find best rate enjoy stay property wonderful stay perfect care staff
 Nothing  Espaecial thanks to Claudia sveta luanne for her kind hospitality As usual everything perfect,Good_review,1,espaecial thanks claudia sveta luanne kind hospitality usual perfect
 I had two meals in the restaurants the chicken with morels and rice was disappointing It was cold in the middle although it was cooked through which suggests that it was precooked rather than being cooked to order Rice was easycook rice like bits of rubber I think this was what made me ill I suggest you go out to eat You ll probably get a better experience of Viennese food I was a single occupant of a double room which was very nice with separate toilet but shower was in the room closed in by glass blocks Very nice but not suitable unless you are a couple   Nice and clean and friendly efficient room staff Good security you need your key card to work the lift elevator Staff spoke English and were very helpful and polite ,Good_review,1,meals restaurants chicken morels rice disappointing cold middle cooked suggests precooked cooked order rice easycook rice like bits rubber think ill suggest eat ll probably better experience viennese food single occupant double room nice separate toilet shower room closed glass blocks nice suitable couple nice clean friendly efficient room staff good security need key card work lift elevator staff spoke english helpful polite
 Price  Hotel was good just think little expensive for 1 night,Good_review,1,price hotel good think little expensive night
 N a  The bed was compfy The complimentary fizz on arrival was a fantastic touch ,Good_review,1,bed compfy complimentary fizz arrival fantastic touch
 We planned to use the restaurant on the top floor that had views over London but disappointed that it was shut No mentioned of this anywhere not on website nor any notification in hotel We just found the doors were locked when we went to check it out   Curtains heating lighting media all controlled on central unit Comfortable bed Staff were very polite and helpful Spa area was clean and enjoyable to use We were given a small refund when we complained about the top floor restaurant being shut ,Good_review,1,planned use restaurant floor views london disappointed shut mentioned website notification hotel found doors locked went check curtains heating lighting media controlled central unit comfortable bed staff polite helpful spa area clean enjoyable use given small refund complained floor restaurant shut
 Understanding the bar tariffs and the allocation of items to the room number and the additional service charges from the bar   Clean airy room well laid out facilities for the hotel and great for catching the tube ,Good_review,1,understanding bar tariffs allocation items room number additional service charges bar clean airy room laid facilities hotel great catching tube
 We could only see out the window the next building wall   Location We were allowed to checkin early ,Good_review,1,window building wall location allowed checkin early
 Street is currently being torn up and repaved Therefore hotel is not directly accessible by car However walking 100 m over a temporary sidewalk wasn t too bad It s not a good idea to bring your car   Air conditioning worked quite well Staff was quite friendly accommodating and enthusiastic to help with anything that came up Breakfast was a good value in this location despite the price ,Good_review,1,street currently torn repaved hotel directly accessible car walking temporary sidewalk wasn bad good idea bring car air conditioning worked staff friendly accommodating enthusiastic help came breakfast good value location despite price
 No room service when I arrived quite late best I could get was a takeaway pizza not cheap   I got a free upgrade to a larger room with sofa and desk Very friendly and helpful staff,Good_review,1,room service arrived late best takeaway pizza cheap got free upgrade larger room sofa desk friendly helpful staff
 Leaving   The friendliness of the staff The Hotel was fabulous The room was great quirky The Location was ideal The restaurant was really good ,Good_review,1,leaving friendliness staff hotel fabulous room great quirky location ideal restaurant good
 not enough place in the room for stuff a bit scatty employees  friendly atmosphere location parking place at the hotel garage ,Good_review,1,place room stuff bit scatty employees friendly atmosphere location parking place hotel garage
 nothing  I lked everything about this hotel especially the doorman he was just so nice cheery polite and helpful ,Good_review,1,lked hotel especially doorman nice cheery polite helpful
 The beds were the most uncomfortable I ve been in for a long time I requested a wake up call and never received one thankfully I woke on my own in time for my flight   The location to the great and easy to walk to a lot of places ,Good_review,1,beds uncomfortable ve long time requested wake received thankfully woke time flight location great easy walk lot places
  Friendly receptionist Quite area,Good_review,1,friendly receptionist area
 Building work is being done but it doesn t case any hassle   Staff were brilliant Really helpful attentive and friendly Amazing building with lots of history too ,Good_review,1,building work doesn case hassle staff brilliant helpful attentive friendly amazing building lots history
 Bathroom is small but for me that was not a problem   Nice good looking room Good breakfast Good location near underground station ,Good_review,1,bathroom small problem nice good looking room good breakfast good location near underground station
 not much  hotel was 5 stars but the staff were 6 star ,Good_review,1,hotel stars staff star
 VIEW Room 224 scaffolding from one window and weeds in pots accompanied by drain pipes from the other however we lived with this as it was shortest days of the year and dark most of the time so not much to see anyway but would like to have known beforehand   Location staff cleanliness facilities in the room We were there for access to most things LONDON in this area but in particular Winter Wonderland which was fantastic as was it s security cleanliness and presentation Well done London ,Good_review,1,view room scaffolding window weeds pots accompanied drain pipes lived shortest days year dark time like known location staff cleanliness facilities room access things london area particular winter wonderland fantastic security cleanliness presentation london
 It s not close to a tube station  Nice friendly staff quiet location for so near to the centre of London very good atmosphere over Christmas,Good_review,1,close tube station nice friendly staff quiet location near centre london good atmosphere christmas
  An excellent location for London sights and theatre district The staff were very friendly and accommodating Super breakfast and a well stocked bar ,Good_review,1,excellent location london sights theatre district staff friendly accommodating super breakfast stocked bar
 Expensive breakfast   Excellent location and comfortable ,Good_review,1,expensive breakfast excellent location comfortable
 The top floor restaurant was closed  Location and design,Good_review,1,floor restaurant closed location design
  Could not fault this hotel ,Good_review,1,fault hotel
 Food could be cheaper perhaps and wifi epileptic  Staff are great Always willing to help Love the cleanliness of the pool and the spa area ,Good_review,1,food cheaper wifi epileptic staff great willing help love cleanliness pool spa area
